p sp 32768 524288
a 1 166 52
a 1 389 16
a 1 12825 23
a 1 2116 11
a 1 16653 80
a 1 4131 28
a 1 2533 96
a 1 3075 51
a 1 8987 4
a 1 16901 6
a 1 6914 82
a 1 68 59
a 1 21966 15
a 1 69 94
a 1 2123 90
a 1 1037 35
a 1 2215 51
a 1 8258 81
a 1 2259 66
a 1 9730 18
a 1 24610 29
a 1 2817 40
a 1 9135 11
a 1 12941 26
a 1 12326 91
a 1 2467 10
a 1 17169 40
a 1 8901 70
a 1 24579 57
a 1 8425 14
a 1 9268 20
a 1 18537 9
a 1 3211 71
a 1 2059 54
a 1 17320 42
a 1 409 42
a 1 8222 92
a 1 4228 26
a 1 16893 4
a 1 2117 61
a 1 165 7
a 1 7938 10
a 1 5121 11
a 1 1537 3
a 1 18057 82
a 1 4 50
a 1 556 59
a 1 23041 70
a 1 15630 52
a 1 596 61
a 1 6149 56
a 1 6166 70
a 1 4809 99
a 1 3338 6
a 1 193 23
a 1 4611 17
a 1 8652 42
a 1 834 89
a 1 18466 8
a 1 2737 57
a 1 4161 5
a 1 17671 22
a 1 19735 43
a 1 9313 7
a 1 10146 86
a 1 8210 25
a 1 17026 65
a 1 26668 18
a 1 669 14
a 1 26754 34
a 1 1098 38
a 1 1419 77
a 1 21654 5
a 1 13317 28
a 1 1 90
a 1 4113 29
a 1 18433 29
a 1 12290 46
a 1 161 21
a 1 521 46
a 1 49 69
a 1 5436 50
a 1 2354 49
a 1 8229 88
a 1 98 34
a 1 8244 15
a 1 19211 41
a 1 4294 22
a 1 1045 72
a 1 1317 84
a 1 27659 1
a 1 2179 21
a 1 4242 92
a 1 16769 42
a 1 11348 2
a 1 4292 2
a 1 17201 21
a 1 265 11
a 1 26881 99
a 1 9515 79
a 1 2323 63
a 1 8321 99
a 1 12034 91
a 1 16964 50
a 1 67 47
a 1 8257 93
a 1 3477 15
a 1 22593 41
a 1 9289 11
a 1 31377 84
a 1 3076 16
a 1 4383 6
a 1 2049 77
a 1 3081 70
a 1 270 36
a 1 1498 93
a 1 1481 53
a 1 27649 86
a 1 1659 7
a 1 16905 41
